timestamp_frame,x,y,class
416,906,136,
417,58,130,Mini map
418,1311,105,Cancelation
419,47,215,Mini map
420,511,146,
421,592,143,
422,1051,104,
423,1283,90,Cancelation
424,1422,67,KDA
425,177,598,Joystick
426,249,505,Joystick
427,222,645,Joystick
428,849,158,
429,1113,235,
430,237,637,Joystick
431,296,663,Joystick
432,262,428,Joystick
433,392,390,Joystick
434,443,365,Joystick
435,841,252,
436,1516,271,Text command
437,837,297,
438,491,487,Joystick
439,280,648,Joystick
440,1516,333,Text command
441,460,436,Joystick
442,250,532,Joystick
443,256,638,Joystick
444,892,245,
445,1520,25,Shop
446,815,252,
447,500,547,Joystick
448,214,641,Joystick
449,824,260,
450,824,260,
451,821,262,
452,819,259,
453,822,294,
454,323,349,Joystick
455,792,401,
456,1616,16,Shop
457,690,144,
458,823,260,
459,702,154,
460,1096,609,Spell (Battle Spell)
461,373,661,Joystick
462,405,663,Joystick
463,1313,484,Skill 2
464,368,154,On mic team
465,1614,15,Shop
466,1614,14,Shop
467,428,393,Joystick
468,434,401,Joystick
469,923,257,
470,843,390,
471,526,587,Joystick
472,871,359,
473,337,339,Joystick
474,350,319,Joystick
475,336,408,Joystick
476,1383,75,KDA
477,1345,87,Cancelation
478,1380,98,Cancelation
479,1513,118,Attack command
480,1551,133,Retreat command
481,1616,167,Retreat command
482,804,424,
483,1590,152,Retreat command
484,1593,157,Retreat command
485,1593,154,Retreat command
486,1252,389,Lock enemy 5
487,1296,422,Skill 3
488,1294,382,Upgrade skill 3
489,1310,415,Skill 3
490,345,177,On mic team
491,1350,480,Skill 3
492,135,252,Mini map
493,1155,519,Skill 2
494,1078,546,Upgrade skill 1
495,1083,580,Spell (Battle Spell)
496,889,660,Recall
497,364,709,Joystick
498,522,568,Joystick
499,493,475,Joystick
500,541,545,Joystick
501,460,365,Joystick
502,412,339,Joystick
503,437,351,Joystick
504,425,344,Joystick
505,417,340,Joystick
506,373,315,Joystick
507,259,380,Joystick
508,217,423,Joystick
509,1468,104,Attack command
510,1464,103,Attack command
511,1411,111,Attack command
512,1492,76,Attack command
513,268,646,Joystick
514,208,431,Joystick
515,1543,347,Text command
516,1187,648,Skill 1
517,639,189,
518,1342,110,Cancelation
519,1615,16,Shop
520,289,562,Joystick
521,1317,107,Cancelation
522,914,239,
523,518,474,Joystick
524,514,435,Joystick
525,360,210,Pin mini map
526,1546,702,
527,1626,123,Attack command
528,198,612,Joystick
529,221,673,Joystick
530,1618,510,
531,1543,415,
532,1548,330,Text command
533,1609,233,Gather command
534,1592,160,Retreat command
535,1408,140,Retreat command
536,278,656,Joystick
537,284,662,Joystick
538,1616,17,Shop
539,688,349,
540,1588,19,Shop
541,368,154,On mic team
542,368,154,On mic team
543,359,54,Configuration
544,432,471,Joystick
545,518,520,Joystick
546,487,448,Joystick
547,447,370,Joystick
548,959,472,
549,1625,230,Gather command
550,570,547,Joystick
551,564,184,
552,557,145,
553,376,332,Joystick
554,374,220,Pin mini map
555,386,562,Joystick
556,349,530,Joystick
557,299,264,Joystick
558,368,154,On mic team
559,359,206,Pin mini map
560,1491,13,Shop
561,952,491,
562,322,273,Joystick
563,375,219,Pin mini map
564,375,219,Pin mini map
565,375,219,Pin mini map
566,1549,13,Shop
567,1391,67,KDA
568,861,21,Time score
569,1564,20,Shop
570,1563,12,Shop
571,1519,51,Shop
572,375,219,Pin mini map
573,374,219,Pin mini map
574,374,219,Pin mini map
575,375,219,Pin mini map
576,375,219,Pin mini map
577,375,220,Pin mini map
578,375,219,Pin mini map
579,375,219,Pin mini map
580,604,342,
581,375,220,Pin mini map
582,375,219,Pin mini map
583,1253,389,Lock enemy 5
584,1054,559,Spell (Battle Spell)
585,896,54,Time score
586,513,471,Joystick
587,1617,423,
588,1622,435,
589,1601,591,
590,423,377,Joystick
591,573,331,
592,475,395,Joystick
593,481,401,Joystick
594,349,377,Joystick
595,255,369,Joystick
596,391,370,Joystick
597,405,359,Joystick
598,368,154,On mic team
599,518,527,Joystick
600,1404,353,Skill 3
601,1520,659,Basic attack
602,1407,193,
603,1330,75,Cancelation
604,1018,650,Spell (Battle Spell)
605,1323,303,Unique item
606,1052,234,
607,1161,556,Skill 1
608,1082,458,Lock enemy 2
609,341,527,Joystick
610,1363,47,KDA
611,1225,431,Upgrade skill 2
612,1502,116,Attack command
613,1360,126,Cancelation
614,1310,165,Cancelation
615,449,480,Joystick
616,1463,156,Retreat command
617,1093,156,
618,1210,385,Lock enemy 3
619,416,470,Joystick
620,826,653,Recall
621,1047,91,
622,1506,423,
623,1483,85,Attack command
624,309,646,Joystick
625,1265,607,Skill 1
626,234,606,Joystick
627,1471,369,Skill 3
628,1622,638,
629,195,584,Joystick
630,192,587,Joystick
631,894,246,
632,1259,625,Skill 1
633,368,154,On mic team
634,729,347,
635,368,154,On mic team
636,368,154,On mic team
637,368,154,On mic team
638,1331,567,Basic attack
639,1616,16,Shop
640,477,562,Joystick
641,449,425,Joystick
642,1616,16,Shop
643,425,348,Joystick
644,1231,166,Cancelation
645,1037,504,Lock enemy 1
646,1598,166,Retreat command
647,1136,671,Skill 1
648,1250,687,Skill 1
649,192,443,Joystick
650,195,590,Joystick
651,230,638,Joystick
652,214,630,Joystick
653,415,73,Configuration
654,376,98,On mic global
655,197,484,Joystick
656,163,537,Joystick
